Artist,Song
Backstreet Boys,Everybody (Backstreets Back)
MC Hammer,U Can't Touch This
Michael Jackson,Black Or White
Coolio,Gangsta's Paradise
Hanson,Mmmbop
Aqua,Barbie Girl
Nirvana,Smells Like Teen Spirit
Extreme,More Than Words
Ace of Base,The Sign
All 4 One,I Swear
Britney Spears,"Baby, One More Time"
Shania Twain,Man! I Feel Like A Woman!
Bryan Adams,Everything I Do I Do It For You
Red Hot Chili Peppers,Under The Bridge
Peter Andre,Mysterious Girl
Mr Big,To Be With You
Lou Bega,Mambo Number 5 (A Little Bit Of...)
Cranberries,Zombie
Vanilla Ice,Ice Ice Baby
Puff Daddy [+] Faith Evans,I'll Be Missing You
Los Del Rio,Macarena
Wilson Phillips,Hold On
Charles & Eddie,Would I Lie To You
Boyz II Men,End Of The Road
Spice Girls,Wannabe
Celine Dion,It's All Coming Back To Me Now
AC/DC,Thunderstruck
TLC,Waterfalls
OMC,How Bizarre
Michael Jackson,You Are Not Alone
B*Witched,C'est La Vie
The Exponents,Why Does Love Do This To Me
All Saints,Never Ever
Right Said Fred,I'm Too Sexy
Five,Keep On Movin'
Chumbawumba,Tubthumping
Vengaboys,Boom Boom Boom
Tom Cochrane,Life Is A Highway
TLC,Unpretty
Guns N' Roses,November Rain
New Kids On The Block,Step By Step
Fugees,Killing Me Softly
Roxette,Joyride
Bon Jovi,Blaze Of Glory
Pras Michael,Ghetto Supastar
Ricky Martin,Livin' La Vida Loca
Supergroove,You Gotta Know
Celine Dion,My Heart Will Go On
Goo Goo Dolls,Iris
Mark Morrison,Return Of The Mack
Oasis,Wonderwall
Michael Jackson,Heal The World
Boyz II Men,I'll Make Love To You
UB40,Can't Help Falling In Love
Whitney Houston,I Will Always Love You
Bloodhound Gang,Bad Touch
Aerosmith,I Don't Want To Miss A Thing
Will Smith,Gettin' Jiggy Wit It
Shania Twain,That Don't Impress Me Much
Live,Lightning Crashes
Elton John,Can You Feel The Love Tonight
The Notorious B.I.G.,Mo Money Mo Problems
Pearl Jam,Better Man
Rednex,Cotton Eye Joe
Everclear,Santa Monica
Spice Girls,Say You'll Be There
Counting Crows,Mr. Jones
Shaggy,Mr Bombastic
Rembrandts,I'll Be There For You
London Beat,I've Been Thinking About You
Nirvana,Come As You Are
Haddaway,What Is Love?
Fool's Garden,Lemon Tree
Sinead O'Connor,Nothing Compares 2 U
Ace of Base,All That She Wants
K-Ci & JoJo,All My Life
Snap,Rhythm Is A Dancer
Five,Got The Feelin'
Fatboy Slim,Praise You
S Club 7,S Club Party
Robbie Williams,Angels
Commitments,Mustang Sally
Eiffel 65,Blue
Spin Doctors,Two Princes
Spice Girls,Two Become One
Sublime,Wrong Way
Tracy Chapman,Give Me One Reason
Dario G,Sunchyme
Smash Mouth,Walkin' On The Sun
Eric Clapton,Tears In Heaven
Tom Petty,Free Fallin'
M People,Moving On Up
Backstreet Boys,Larger Than Life
Marc Cohn,Walking In Memphis
Corona,Rhythm Of The Night
Five,Everybody Get Up
Green Day,When I Come Around
Will Smith,Men In Black
Colour Me Badd,I Wanna Sex You Up
Bryan Adams,Can't Stop This Thing We Started
Marky Mark And The Funky Bunch & Loletta Holloway,Good Vibrations
Alanis Morissette,You Oughta Know
Robyn,Show Me Love
Urge Overkill,"Girl, You'll Be A Woman Soon"
Lighthouse Family,High
R.E.M.,Losing My Religion
Celine Dion,Because You Loved Me
Meredith Brooks,Bitch
Bruce Springsteen,Streets Of Philadelphia
Take That,Back For Good
The Offspring,Pretty Fly (For A White Guy)
Seal,Kiss From A Rose
N-Trance & Ricardo Da Force,Stayin' Alive
Semisonic,Closing Time
2Pac,California Love
Amy Grant,Baby Baby
Sheryl Crow,All I Wanna Do
The Verve,Bitter Sweet Symphony
Cher,Believe
R.E.M.,Everybody Hurts
4 Non Blondes,What's Up
Ini Kamoze,Here Comes The Hotstepper
Robbie Williams,Let Me Entertain You
Spice Girls,Stop
The Cardigans,Lovefool
Snow,Informer
Meatloaf,I'd Do Anything For Love
Mariah Carey,Dreamlover
Smashing Pumpkins,1979
Backstreet Boys,As Long As You Love Me
Guns N' Roses,Don't Cry
Crash Test Dummies,Mmm Mmm Mmm Mmm
Joan Osbourne,One Of Us
Dionne Farris,I Know
Oasis,Champagne Supernova
R. Kelly,I Believe I Can Fly
Blind Melon,No Rain
Roxette,It Must Have Been Love
No Doubt,Spiderwebs
Aqua,Doctor Jones
Foo Fighters,Learn To Fly
Bob Marley,Sun Is Shining
Verve Pipe,The Freshmen
Jennifer Paige,Crush
The Soup Dragons,I'm Free
Vengaboys,We Like To Party (Vengabus)
Spin Doctors,Little Miss Can't Be Wrong
Unique II,Break My Stride
Lenny Kravitz,Are You Gonna Go My Way
Fugees,No Woman No Cry
Sonia Dada,You Don't Treat Me No Good
The Lemonheads,Mrs. Robinson
Ce Ce Peniston,Finally
Marcy Playground,Sex And Candy
Cornershop,Brimful Of Asha
U2,Sweetest Thing
Toni Braxton,Breathe Again
Crowded House,Weather With You
